epoch,accuracy
1,10.000000
2,10.120000
3,10.000000
4,9.870000
5,10.070000
6,10.000000
7,10.000000
8,10.000000
9,14.270000
10,10.000000
11,14.390000
12,10.000000
13,10.000000
14,10.000000
15,10.000000
16,10.000000
17,10.000000
18,10.000000
19,10.120000
20,10.790000
21,10.060000
22,10.000000
23,10.060000
24,12.960000
25,12.210000
26,11.180000
27,11.570000
28,13.140000
29,11.120000
30,11.710000
31,11.970000
32,13.210000
33,25.070000
34,25.440000
35,24.870000
36,28.390000
37,28.040000
38,28.600000
39,28.870000
40,30.580000
41,27.560000
42,25.680000
43,30.770000
44,30.780000
45,31.750000
46,38.740000
47,25.330000
48,33.780000
49,28.030000
50,32.750000
51,39.400000
52,36.940000
53,39.920000
54,39.660000
55,41.120000
56,40.140000
57,42.610000
58,39.400000
59,39.600000
60,32.920000
61,35.360000
62,40.920000
63,41.660000
64,41.970000
65,45.930000
66,42.480000
67,43.370000
68,46.800000
69,43.500000
70,42.660000
71,35.280000
72,47.580000
73,46.140000
74,40.100000
75,41.340000
76,44.290000
77,45.140000
78,47.810000
79,42.550000
80,46.070000
81,46.880000
82,48.450000
83,50.030000
84,45.420000
85,49.970000
86,47.050000
87,48.280000
88,50.550000
89,51.430000
90,49.880000
91,51.140000
92,47.610000
93,50.210000
94,52.330000
95,52.010000
96,52.160000
97,50.280000
98,52.340000
99,49.070000
100,52.450000
101,48.970000
102,50.720000
103,51.060000
104,49.580000
105,50.060000
106,50.890000
107,50.600000
108,51.500000
109,49.250000
110,52.070000
111,54.100000
112,52.570000
