epoch,G_grad_norm,S_grad_norm,grad_wrt_X
1,10.932899,0.169638,0.003870
2,10.209161,0.005960,0.005521
3,12.275548,0.002468,0.005994
4,15.415257,0.001918,0.006747
5,11.617075,0.006181,0.007212
6,10.306743,0.003566,0.007311
7,13.673438,0.005532,0.007094
8,10.112898,0.003704,0.007471
9,14.001062,0.002471,0.007724
10,15.001500,0.005466,0.008030
11,14.274066,0.002965,0.008195
12,9.573922,0.006624,0.008139
13,9.774164,0.007130,0.008007
14,9.208258,0.007100,0.007958
15,15.234082,0.008478,0.008288
16,8.662519,0.012684,0.008218
17,13.833281,0.009521,0.008251
18,13.666781,0.009454,0.008464
